,date,year,month,day,author,title,article,url,section,publication
0,2019-06-14 00:00:00,2019,6.0,14,,More Greenpeace activists climb on BP drilling rig after arrests,"LONDON (Reuters) - Greenpeace activists climbed back on a drilling rig on Friday to keep it from heading to a BP oilfield in the British North Sea, hours after police removed protesters who had boarded the vessel days earlier.  On Thursday night police removed and arrested two Greenpeace activists who had spent over 70 hours blocking the rig from leaving Cromarty Firth, north of Inverness, Scotland, Greenpeace said in a statement.   “We can’t give up and let oil giants carry on with business as usual because that means giving up on a habitable planet and our kids’ future,” said Greenpeace UK’s executive director, John Sauven.  Two more Greenpeace activists climbed up a leg of the rig in the early hours of Friday, the group said, adding it is organizing shifts for its climbers in its effort to prevent BP from drilling its Vorlich field.  Police have arrested nine people in connection with the protest, Scottish police said, adding they were working with the operators of the rig to reach a “safe resolution to the continuing protest”.      BP said in a statement it was coordinating with rig-owner Transocean and Scottish police.   “BP supports debate, discussion and peaceful demonstration, but the irresponsible actions of this group are putting themselves and others unnecessarily at risk, while ignoring court orders and police action,” the company said.  The Vorlich field, a relatively small development thought to contain 30 million barrels of oil, is due to come onstream in 2020. BP is working on the project together with Ithaca Energy, a unit of Israel’s Delek Group poised for a stock market listing.  Reporting by Ron Bousso and Shadia Nasralla; Editing by Frances Kerry",https://www.reuters.com/article/bp-greenpeace-protests/more-greenpeace-activists-climb-on-bp-drilling-rig-after-arrests-idUSL8N23L2MW,Environment,Reuters
1,2017-09-01 00:00:00,2017,9.0,1,Mia Jankowicz,"At BP-Sponsored Art Show, Protesters Call Out the Corporation’s Abuses","On Thursday evening at the National Portrait Gallery, protesters drew attention to BP’s work with the Indonesian government, which has been accused of civil rights violations in West Papua. Advertise on Hyperallergic with Nectar Ads LONDON — The National Portrait Gallery’s annual portrait prize exhibition gained an extra exhibit last night thanks to an intervention by BP or Not BP?, an anti-British Petroleum (BP) artist protest group. The BP Portrait Prize is an annual public competition that has run for 37 years and has been sponsored by BP since 1990. The protest was one of many staged events against BP’s involvement in the arts in recent years by BP or not BP? and other members of the Art Not Oil Coalition. In the hall just outside the exhibition space, BP or not BP? unveiled a portrait of Benny Wenda, a West Papuan independence leader exiled in the UK. Wenda is the face of a struggle that protesters claim has been ignored by BP. “It felt good to do something not only about BP’s impact on climate change, but also the human rights aspects,” Lianna Etkind, a participant in the protest, told me. “Companies like BP are complicit in people losing their land from flooding resulting from climate change, but also complicit in acts of direct oppression.” BP works closely with the Indonesian government to extract West Papuan natural resources such as liquefied natural gas. There is a strong liberation movement in West Papua, the western half of the island of New Guinea, to gain independence as a nation, as the Indonesian government has claimed it a province of its country since 1963. According to a statement given by Wenda, “BP is operating in the middle of a genocide. Since 1963, hundreds of thousands of West Papuans have been killed by the Indonesian occupation, either directly by government forces or through the loss of their homes, their lands and their livelihoods. The money that BP pays to the Indonesian government helps them to buy weapons and ammunition that are used to harass, intimidate and kill my people.” The portrait was displayed next to the “morning star” flag, used by West Papuan independence supporters but which is banned by Indonesia. Dale Grimshaw, the painter of the portrait, had submitted his painting of Benny Wenda to the competition as a form of protest, but it was not selected. He explained his decision to protest the exhibition in an impromptu talk to gallery-goers. He said: “[BP] know very well what’s going on in the land, they engage politically and financially speaking with the Indonesian military … could you imagine, on a weekly basis, people you know being imprisoned and tortured for peaceful protest?” He also said in a statement: “BP gets to plaster its logo all over the gallery and present this false version of itself to the world. Art can be a way to fight back against that and tell the truth about what these companies are really doing.” The intervention was timed to happen on the same day as the submission to the UN of a 140,000-strong international petition calling for a free and fair independence vote for the people of West Papua. After the portrait was unveiled, the group screened a short video of Wenda and performed a mini “awards ceremony” presenting prizes for “biggest hypocrite” and “biggest polluter” to the “Director of the National Portrait Gallery” and a “BP representative” respectively. The charge of hypocrisy stems from the National Portrait Gallery’s Ethical Fundraising Policy, released via a Freedom of Information request made by Culture Unstained, which states concern over accepting funds from anyone “known or suspected to be closely associated with a regime known or suspected to be in violation of human rights.” The National Portrait Gallery does not publicly state how much money it receives from BP, but it is a share of the £7.5 million five-year deal between the National Portrait Gallery and three other British cultural institutions. BP or not BP? point out that a quarter of this amount would be less than 2% of the gallery’s annual income. Hyperallergic reached out to the National Portrait Gallery for comment but as of this writing has received no response. BP’s relationship with Indonesia as well as other repressive governments are currently the subject of a formal complaint to the National Portrait Gallery by the campaign group Culture Unstained, who, along with BP or not BP?, are part of the Art Not Oil Coalition. The BP or not BP? protest took place at the National Portrait Gallery (St. Martin’s Pl, London) on Thursday, August 31.  Correction: A previous version of this article stated BP or not BP? had requested a Freedom of Information request from the National Gallery’s Ethical Fundraising Policy. This is incorrect; Culture Unstained had made the request. This has been fixed.",https://hyperallergic.com/398689/bp-or-not-bp-national-portrait-gallery-protest/,,Hyperallergic
2,2019-06-09 00:00:00,2019,6.0,9,,Greenpeace activists halt BP's North Sea oil rig,"(Reuters) - Greenpeace activists said on Sunday they halted the progress of an oil rig destined for BP Plc’s North Sea exploration program off the coast of Scotland.  The activists demanded that one of the world’s biggest energy companies immediately end drilling new wells and invest only in renewable energy or shut its operations and return cash to investors.   Greenpeace said in a statement that a team of activists in boats drew up besides the 27,000-tonne rig as it was trying to leave Cromarty Firth.   The statement quoted a Greenpeace activist from Scotland it identified as Jo as saying: “This rig and the 30 million barrels it seeks to drill, are a sure a sign that BP are committed to business as usual, fueling a climate emergency that threatens millions of lives and the future of the living world.”  BP said in a statement: “While we recognize the right for peaceful protest, the actions of this group are irresponsible and may put themselves and others unnecessarily at risk.”   The company said it was working with Transocean Ltd, the rig’s owner and operator, and other authorities to resolve the situation.  BP added that it shared the protesters’ concerns about climate and that it supported the Paris climate agreement.   Responding to BP’s statement, Greenpeace said that while the rig was owned by Transocean, it was on its way to the Vorlich field to drill new oil wells operated by BP.  Last month, Greenpeace activists blocked BP’s London headquarters in St James’ Square in central London, demanding the company end its oil exploration.  Reporting by Maria Ponnezhath in Bengaluru; Additional reporting by Ron Bousso; Editing by Louise Heavens and Peter Cooney",https://www.reuters.com/article/bp-greenpeace/update-3-greenpeace-activists-halt-bps-north-sea-oil-rig-idUSL8N23G0O5,Environment,Reuters
3,2019-06-14 00:00:00,2019,6.0,14,Jasmine Weber,"Week in Review: Artists Protest BP, Hong Kong Institutions Strike to Oppose Extradition Bill","Also, a group of activists occupied El Museo del Barrio during its 50th-anniversary celebration, installations about child immigrant detentions appeared across NYC, and more. Advertise on Hyperallergic with Nectar Ads Week in Review is a weekly collection of news, developments, and stirrings in the art world. Subscribe to receive these posts as a weekly newsletter. On June 10, anti-oil activists blocked the entrance of the National Portrait Gallery to protest BP‘s sponsorship of the prestigious Portrait Award. Dozens of protesters blocked entry to the gallery for guests of the ceremony, linking arms and chaining themselves to the gallery gates. Guests were forced to climb over the wall with the assistance of security in order to enter the gallery. | Hyperallergic Inspired by the recent Extinction Rebellion climate change protests in the UK, one of the judges of the BP Portrait Award, artist Gary Hume, wrote a letter to the National Portrait Gallery calling for the end of BP’s sponsorship at the museum, saying: “This is the 30th year of BP sponsoring the Portrait Award, and I would argue that 30 years is enough. As the impacts of climate change become increasingly apparent, the Gallery will look more and more out of step by hosting an oil-branded art prize.” A group of eight former winners, shortlisted artists, and exhibitors in the BP Portrait Award, also wrote to the museum, urging them to cut ties with British Petroleum. | Hyperallergic On June 12, Hong Kong’s pavilion at the Venice Biennale closed for the day to join a strike against the highly contested proposed extradition bill, which would allow extraditing fugitives to mainland China. About 100 Hong Kong arts organizations, including commercial galleries, participated in the strike. | Hyperallergic The New York Times will no longer publish daily political cartoons in its international edition. | NYT A group of 15 activists occupied the galleries of El Museo del Barrio during its 50th-anniversary celebration on June 11. In front of political artworks, they read out the Mirror Manifesto, an open letter that Latinx activists released in April in an attempt to steer the museum back toward its roots as a community-based institution. | Hyperallergic Andrea Bowers’s Art Basel installation, Open Secrets, details sexual assault allegations that have come to light in the wake of the #MeToo movement, but came under fire for using the likeness of a survivor after her assault, without permission. After the victim posted her discomfort with the situation, leading to intense social media scrutiny, the panel was removed. | Hyperallergic Museums in Brazil have been spared from right-wing President Jair Bolsonaro’s Rouanet Law, which will minimize federal funding for cultural projects. The annual funding budget per project will be reduced from 60 million Brazilian real (~$15.6 million) to 1 million Brazilian real (~$260,000), “but museums, material and immaterial heritage projects, conservation initiatives and some entertainment productions will be exempt,” according to the Art Newspaper. | TAN On June 12,  haunting installations about child immigrant detentions appeared across New York City. RAICES, an immigration legal services nonprofit, placed 24 #NoKidsInCages installations in front of media companies, cultural institutions, and other busy New York landmarks. | Hyperallergic Antoni Gaudí‘s Sagrada Familia has finally received its first building permit from the city of Barcelona, despite being under construction since 1882. The UNESCO world heritage site will pay €4.6 million (~$5.2 million) to the city for the permit, as well as an additional €36 million (~$40.6 million) for its past construction. | Dezeen Around 90 art handlers and facilities staff at the Solomon R. Guggenheim Museum have announced their intention to unionize. “There’s no recourse here,” one art handler told Hyperallergic. “It’s about lack of transparency; we have no autonomy and no voice. If we enter negotiations, then we can set a standard.” | Hyperallergic Staff members at the Frye Museum in Seattle will hold a union election on June 18, after the institution declined to voluntarily recognize their Art Workers Union. | Hyperallergic Washington, DC’s Phillips Collection has acquired a major collection of Nabi art, including two portfolios and more than 40 paintings and works on paper. The gift comes from Roger Sant and his late wife Vicki, a former trustee at the museum. The Nabis were a group of European artists in the late 19th century who were inspired by Paul Gauguin, and this collection includes works by Félix Vallotton, Pierre Bonnard, Edouard Vuillard, and Maurice Denis, among others. This and other notable sales and acquisitions are chronicled in our latest Transactions story. Hyperallergic is commemorating Pride Month by featuring one contemporary queer artist per day as part of a series, Queer Artists in Their Own Words. Eyebeam’s 2020 Residency Open Call asks applicants, “How do acts of refusal manifest in one’s life and work poetically or directly?” Individual or collaborative projects are welcome to apply to create experimental, interdisciplinary works that fuse art and technology. The residency will run from January 2020 through June 2020, with a $22,000 stipend offered to all residents. Applications are due June 21. | Eyebeam Learn about other opportunities you can apply for this month in our latest “Opportunities for Artists in June 2019.” The Asian Cultural Council (ACC) announced the recipients of 2019’s China and Hong Kong Fellowships. Nikita Cai, Chen Li, Yu Ji; Birdhead, Gu Jiani, and Sun Shimeng are the 2019 China fellows. Au Hoi Lam, Enoch Cheng, Mak Kai Chung (Mike Orange), Wayson Poon, Lau Ho Chi, and Thomas Hung are this year’s Hong Kong fellows. | Artforum Jo Baer is now represented by Pace Gallery. | via email announcement Amada Cruz was appointed director of the Seattle Art Museum. | Seattle Art Museum Rochelle Feinstein is now represented by Sperone Westwater Gallery. | ARTnews Richard Flood, the New Museum’s director of special projects and curator at large, has retired. | ARTnews Goodman Gallery will open a space in London this fall. | via email announcement Russell Granet was appointed president & CEO of the New 42nd Street, a nonprofit theater in New York. | via email announcement Luzene Hill is the recipient of the Fall 2019 Ucross Fellowship for Native American Visual Artists. | via email announcement Annie Leibovitz is now represented by Hauser & Wirth. | The Art Newspaper Susan Meiselas was awarded the inaugural Women in Motion Award. | WWD Gagosian will open its 17th gallery, in Basel, Switzerland. | ARTnews The Gordon Parks Foundation is now represented by Alison Jacques. | via email announcement Chakshu Patel was named director of institutional advancement at the Studio Museum in Harlem. | via email announcement James R. Wehn was named the Van Vleck Curator of works on paper at the Chazen Museum of Art at the University of Wisconsin-Madison. | ARTnews Rein Wolfs is the new director of the Stedelijk Museum in Amsterdam. | New York Times Daisy Youngblood is now represented by Van Doren Waxter Gallery. | ARTnews Patricia Battin (1929–2019), librarian who pioneered digitization | NYT Yannick Bellon (1924–2019), feminist filmmaker | NYT Bushwick Bill (1966–2019), rapper and record producer | Vulture Lewis B. Cullman (1919–2019), investment banker and arts patron | AV Press Terese Hayden (1921–2019), creator of the Players’ Guide to help actors find work | AV Press Jiggs Kalra (1947–2019), food writer | Business Times Mary Max (1966–2019), wife of the pop artist Peter Max | NYT Velvel Pasternak (1933–2019), musicologist who preserved Hasidic tradition | NYT Joyce Pensato (1941–2019), painter known for her interpretations of pop culture cartoon figures | Artforum Murray Polner (1928–2019), editor and writer | NY Daily News Mac Rebennack (1941–2019), New Orleans musician | Rolling Stone Tsuruko Yamazaki (1925–2019), founding member of the Gutai Art Association, an avant-garde multidisciplinary and performance art collective | Artforum",https://hyperallergic.com/504244/week-in-review-artists-protest-bp-hong-kong-institutions-strike-to-oppose-extradition-bill/,,Hyperallergic
4,2019-06-17 00:00:00,2019,6.0,17,Ron Bousso,BP rig zigzags North Sea in chase with Greenpeace ship,"LONDON (Reuters) - A BP drilling rig heading to an oilfield in the British North Sea has been forced to turn away twice over the past two days as a Greenpeace vessel protesting climate change tries to hamper its progress.  The high-sea chase is the latest step in Greenpeace’s nine-day effort to stop the 40,000 tonne Paul Loyd JNR rig from reaching the Vorlich oilfield to start its drilling campaign.  The vessel left Cromarty Firth, north of Inverness, Scotland on Friday after police twice removed activists who had climbed and spent several days on one of the rig’s legs.  But it was forced to turn away twice from its destination over the past 48 hours as Greenpeace’s Arctic Sunrise vessel followed it, the activist group said.  The Paul Loyd JNR is currently heading west toward Peterhead and away from the Vorlich field, according to Greenpeace and www.marinetraffic.com ship tracking website.  “We are determined to stop BP drilling new oil wells in the North Sea,” Sarah North, Greenpeace International climate activist on the Arctic Sunrise said in a statement.  BP slammed Greenpeace and said it had secured an injunction against the Arctic Sunrise.      “Given Greenpeace’s repeated interference and reckless actions directed at our lawful business and their continued illegal defiance of court orders and police action, we have ... this injunction as a precautionary measure to protect the safety of people and operations,” a BP spokesman said in a statement.      BP announced last year plans to invest 200 million pounds  ($251.16 million) to develop the Vorlich field in the central North Sea which holds some 30 million barrels of oil and gas equivalent.  It is expected to start production in 2020 with an output of 20,000 barrels per day, according to BP’s website.   Reporting by Ron Bousso; editing by Emelia Sithole-Matarise",https://www.reuters.com/article/us-bp-greenpeace-protests/bp-rig-zigzags-north-sea-in-chase-with-greenpeace-ship-idUSKCN1TI1Z8,Environment,Reuters
5,2019-06-26 00:00:00,2019,6.0,26,Ron Bousso,BP gets back into animal feed with $30 million Calysta investment,"LONDON (Reuters) - BP is returning to the animal feed business a quarter of a century after exiting the sector.  The London-based oil and gas company said it is investing $30 million in Calysta Inc., which produces protein for fish, livestock and pet food.  Natural gas is pumped through a fermenter, and the microorganisms, from naturally occurring microbes found in soil, metabolize the gas as their sole source of energy, producing a high-protein biomass.  While a relatively large investment for BP’s venture division, which typically puts money into new technologies focused on the transition to low-carbon energy, it is small fry for a company that announced a $2.4 billion profit for the first quarter.  The oil giant, which has come under increasing pressure from climate activists, has been working with shareholders in recent years to try to define a path towards meeting the goals of the 2015 Paris climate agreement to limit global warming.  Calysta could, however, become an important buyer of gas for BP as demand for protein-based animal feed is expected to rise by 80% by 2050 as the world’s population grows and diets change, BP’s vice president for long-term planning Dominic Emery said.  “This could become a reasonably material part of our gas supply business over time,” Emery told Reuters. The business is expected to generate profits for BP in the next few years, he added.  The technology may help meet the growing demand for feed in a more sustainable way by using less water and agricultural land.  California-based Calysta operates a production facility in Teesside in eastern England.  BP and peers including Royal Dutch Shell and Total are betting on growing demand for natural gas, the least polluting fossil fuel, as the world transitions to cleaner forms of energy.  While most of the gas is consumed for power and heating, the companies are also looking for other outlets such as truck and marine transportation and industries.  BP built in the 1980s a sprawling nutrition business with products ranging from pet food to fish farms. It sold most of the struggling division by 1994 for over $1.5 billion in order to focus on its oil and gas business.  BP Venture’s senior principal David Hayes will take a seat on the board of Calysta, BP said.  Reporting by Ron Bousso, editing by Louise Heavens",https://www.reuters.com/article/bp-ma-calysta/bp-gets-back-into-animal-feed-with-30-mln-calysta-investment-idUSL8N23W2A2,Deals,Reuters
6,2019-06-27 00:00:00,2019,6.0,27,,Canadian LNG terminal Woodfibre signs up BP as its first customer,"(Reuters) - Woodfibre LNG, a liquefied natural gas (LNG) project in Canada, said it had signed a unit of BP (BP.L) as its first customer, a crucial step towards developing the export facility.  Woodfibre said on Wednesday BP Gas Marketing Limited had agreed to buy 0.75 million tonnes per year (mtpa) of LNG for 15 years starting in 2023, when the project in British Columbia is expected to come onstream.  The facility’s capacity is expected to be 2.1 mtpa.  It said it was also working on an agreement “for BP Canada to provide gas transportation and balancing services ensuring a reliable delivery of gas to the Woodfibre LNG export facility over the 15-year term”.  Dozens of companies are planning LNG export terminals in North America to capitalize on gas made accessible from shale drilling technology. Signing up committed, long-term buyers is vital for financing and building such projects.  Royal Dutch Shell (RDSa.L) approved its 14 mtpa project in Kitimat, northern British Columbia, in October, triggering a new cycle of projects to be built to meet an anticipated LNG shortage in mid-2020s.  But the LNG Canada project is the only one in Canada to have progressed to construction stage.   Woodfibre LNG is a subsidiary of Pacific Oil & Gas, part of the Singaporean conglomerate RGE. Pacific Oil & Gas operates two LNG import terminals in China, as well as other upstream and midstream oil and gas assets.  LNG produced on the west coast of Canada is likely to be sold in Asia which accounts for about 75 percent of global demand. There are at least half a dozen LNG export terminal projects planned in Canada, and more in the United States.   Reporting by Sabina Zawadzki",https://www.reuters.com/article/canada-lng/canadian-lng-terminal-woodfibre-signs-up-bp-as-its-first-customer-idUSL8N23Y1E2,Business News,Reuters
7,2019-06-21 00:00:00,2019,6.0,21,Jasmine Weber,"Protesting BP Sponsorship, Mark Rylance Resigns as Royal Shakespeare Company’s Associate Artist","“We are all together in this crisis and we all must change,” Rylance said in an opinion article published in the Guardian. “I am resigning to lend strength to the voices within the RSC who want to be progressive, and to encourage my fellow associates to express themselves, too.” Advertise on Hyperallergic with Nectar Ads British actor, theatre director, and playwright Mark Rylance has resigned as an associate artist of the Royal Shakespeare Company (RSC) after 30 years, admonishing the company’s ongoing ties to British Petroleum (BP). Rylance, who trained at the Royal Academy of Dramatic Art in London, was the first artistic director of Shakespeare’s Globe in London, between 1995 and 2005. Today, the Oscar winner announced his decision to leave the RSC in a Guardian opinion article, explaining his need to sever ties with the company that has inspired him since his teenage years, “not because it is any less of a theatre company, but because of the company it keeps.” In 2012, when the RSC initiated its partnership with BP, Rylance was among the signees of a letter to the company expressing concern that it was “allowing itself to be used by BP to obscure the destructive reality of its activities.” That year, activist theatre group BP or not BP? launched a series of satirical, performance-based protests, which have continued ever since. This year, the group also led protests at the National Portrait Gallery and British Museum, urging them to sever their financial ties with BP. The RSC later decided to remove BP’s logos from its plays, but the next year, worked with the oil company to sponsor a reduced ticket program for young adults between 16 and 25. In 2016, the RSC signed a contract to continue the program through 2022. Rylance urges the company to ends this relationship much sooner, writing: The RSC is well placed to make a positive statement about the responsibility of cultural organisations to act on the climate crisis. It could turn this situation on its head and give young people much more value than a cheap £5 ticket. It could give them the support of Shakespeare in their stand against our addiction to energy dealers who would willingly destroy us for a quick quid. He has instead expressed his support for Culture Unstained’s Fossil Free £5 Ticket project, which crowdfunds to finance the reduced admission program. Rylance said he met with environmentalist Jonathon Porritt to better understand BP’s role in climate change, to which Porritt told him: Together with other oil majors, BP has been accused of fully understanding the science of climate change as far back as the early 1980s, and downplaying and obscuring that science ever since, always in the short-term interests of its shareholders. Regrettably, its current leadership is stuck in the same pattern — all the time using philanthropy to hide its past and present culpability. “BP is also a powerful lobbyist,” Rylance writes. “It recently topped the list of firms obstructing climate action around the world and has been successfully lobbying President Trump for access to Arctic oil.” In a longer version of the article published by Culture Unstained, Rylance claims that during an annual general meeting of the RSC in 2017, he asked about the sponsorship and was promised that RSC’s Associate Artists would be further involved in the company’s charitable objectives through “private consultation.” “Hearing nothing, I recently let the RSC know that I feel I must resign as I do not wish to be associated with BP any more than I would with an arms dealer, a tobacco salesmen or any company or individual who willfully destroys the lives of others alive and unborn,” he continues. “Nor do I believe would William Shakespeare.” “We are all together in this crisis and we all must change. I am resigning to lend strength to the voices within the RSC who want to be progressive, and to encourage my fellow associates to express themselves, too.” At the time of writing, Hyperallergic has not received a response to its request for comment from the RSC.",https://hyperallergic.com/506390/mark-rylance-resigns-royal-shakespeare-company/,,Hyperallergic
8,2016-04-29 00:00:00,2016,4.0,29,Claire Voon,Documents Hint at BP's Undue Influence on UK Museums It Sponsors,"Advertise on Hyperallergic with Nectar Ads A number of major museums in the UK, including the British Museum and National Portrait Gallery, may undergo investigation over claims that oil giant BP had sway over their operations. After obtaining internal documents through the Freedom of Information Act, the Art Not Oil coalition claims that BP “influenced curatorial decision-making, shaped cultural institutions’ security strategies and used museums to further its political interests in the UK and abroad,” as the Guardian, which received the documents, reported. Emails show that the oil and gas company allegedly had final say over the purchase and inclusion of an artwork by painters from the indigenous Australian Spinifex group in the British Museum exhibition Indigenous Australia: enduring civilization, which coincided with BP’s push last year to drill in the Great Australian Bight. The company, in response, said it “never seeks curatorial influence” and was merely providing funding. Last year, it apparently wanted to place its logo on the cover of a forthcoming National Portrait Gallery book; an email reveals one employee backing off after some back-and-forth with the museum’s director of communications. BP brushed off the incident as “a discussion between partners on how to demonstrate that partnership on a relevant product.” The company also seems to have pressured both museums to enroll staff in a counterterrorism training program it had organized, as well as requested that a number of arts institutions send it information on whether any employees were part of unions that might oppose oil industry sponsorship of the arts. No documents regarding Tate, which BP will cease sponsoring next year, are specifically mentioned. “We’ve always known that BP uses sponsorship deals to buy a social legitimacy that it doesn’t deserve,” Chris Garrard, a member of Art Not Oil and the lead author of its report on BP’s influence, told the Guardian. “But now we have specific evidence of where our museums and galleries have been complicit in advancing BP’s business interests and keeping the voices of the company’s critics in check. “How can we have trust in these institutions when they have repeatedly put BP’s needs before the public good?” The National Portrait Gallery and the British Museum have denied facing such pressures from the oil company. According to the Guardian, BP Chief Executive Bob Dudley just this month defended his firm’s funding of the arts at an annual general meeting, asserting that the partnerships have “no strings attached.” The Museums Association, which represents museums and galleries in the UK, may now look into the case, as any claims proven true violate its code of ethics. Article 1.2, for instance, dictates that all who work in and with museums should “ensure editorial integrity in programming and interpretation. Resist attempts to influence interpretation or content by particular interest groups, including lenders, donors and funders.” If Art Not Oil requests further guidance on the situation, the association’s ethics committee will follow up on the claims and contact all parties involved, a policy officer told the Guardian.",https://hyperallergic.com/295105/documents-hint-at-bps-undue-influence-on-uk-museums-it-sponsors/,,Hyperallergic
9,2016-06-15 00:00:00,2016,6.0,15,,Omar Mateen: Rails Over BP Oil Spill,"Omar Mateen went ballistic during the BP oil spill, telling someone near the disaster the clean-up crews were only in it for the money. Mateen was featured in a 2012 documentary about the spill, when he was working as a security guard near the disaster area. It's shocking how normal though agitated he seems, telling a woman in a car that no one cares about anything but the almighty dollar.",https://www.tmz.com/2016/06/15/omar-mateen-bp-oil-spill-video/,,TMZ
